contig	start_pos	end_pos	strand	id	GI	GeneID	gene	description
NC_000913.3	39244	40386	R	NP_414581.1	16128033	949064	caiA	probable carnitine operon oxidoreductase; crotonobetaine reductase subunit II, FAD-binding
NC_000913.3	40417	41931	R	NP_414582.1	16128034	944765	caiT	probable carnitine transporter; putative transporter
NC_000913.3	42403	43173	D	NP_414583.2	90111081	947316	fixA	probable flavoprotein subunit, carnitine metabolism; anaerobic carnitine reduction putative electron transfer flavoprotein subunit
NC_000913.3	43188	44129	D	NP_414584.1	16128036	948939	fixB	probable flavoprotein subunit, carnitine metabolism; putative electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein
NC_000913.3	44180	45466	D	NP_414585.1	16128037	948958	fixC	flavoprotein; electron transport; putative oxidoreductase
NC_000913.3	45463	45750	D	NP_414586.1	16128038	948590	fixX	putative ferredoxin; putative 4Fe-4S ferredoxin-type protein
NC_000913.3	45807	47138	D	NP_414587.1	16128039	944766	yaaU	putative transport protein; putative transporter
NC_000913.3	47246	47776	D	NP_414588.1	16128040	944767	kefF	putative NAD(P)H oxidoreductase; potassium-efflux system ancillary protein for KefC, glutathione-regulated; quinone oxidoreductase, FMN-dependent
NC_000913.3	47769	49631	D	NP_414589.1	16128041	944773	kefC	K+ efflux antiporter, glutathione-regulated; potassium:proton antiporter
NC_000913.3	49823	50302	D	NP_414590.1	16128042	944790	folA	dihydrofolate reductase type I; trimethoprim resistance; dihydrofolate reductase
NC_000913.3	50380	51222	R	NP_414591.1	16128043	944770	apaH	diadenosine tetraphosphatase
NC_000913.3	51229	51606	R	NP_414592.1	16128044	944772	apaG	protein associated with Co2+ and Mg2+ efflux
NC_000913.3	51609	52430	R	NP_414593.1	16128045	944939	rsmA	16S rRNA m(6)A1518, m(6)A1519 dimethyltransferase, SAM-dependent
NC_000913.3	52427	53416	R	NP_414594.1	16128046	944919	pdxA	pyridoxine biosynthesis; 4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent
NC_000913.3	53416	54702	R	NP_414595.1	16128047	944812	surA	survival protein; peptidyl-prolyl cis-trans isomerase (PPIase)
NC_000913.3	54755	57109	R	NP_414596.1	16128048	945011	lptD	organic solvent tolerance; LPS assembly OM complex LptDE, beta-barrel component
NC_000913.3	57364	58179	D	NP_414597.1	16128049	948992	djlA	membrane-anchored DnaK co-chaperone, DNA-binding protein
NC_000913.3	58474	59279	D	b4659		944776	yabP	pseudogene, pentapeptide repeats-containing; <NULL_VALUE>
NC_000913.3	59687	60346	R	NP_414600.1	16128052	946262	rluA	dual specificity 23S rRNA pseudouridine(746), tRNA pseudouridine(32) synthase, SAM-dependent
NC_000913.3	60358	63264	R	NP_414601.1	16128053	948523	rapA	probable ATP-dependent RNA helicase; RNA polymerase remodeling/recycling factor ATPase; RNA polymerase-associated, ATP-dependent RNA translocase
NC_000913.3	63429	65780	R	NP_414602.1	16128054	944779	polB	DNA polymerase II
NC_000913.3	65855	66550	R	NP_414603.1	16128055	945294	araD	L-ribulose-5-phosphate 4-epimerase
NC_000913.3	66835	68337	R	NP_414604.1	16128056	947511	araA	L-arabinose isomerase
NC_000913.3	68348	70048	R	NP_414605.1	16128057	946017	araB	L-ribulokinase
NC_000913.3	70387	71265	D	NP_414606.1	16128058	944780	araC	transcriptional regulator for ara operon; ara regulon transcriptional activator; autorepressor
NC_000913.3	71351	72115	D	NP_414607.1	16128059	944783	yabI	DedA family inner membrane protein
NC_000913.3	72229	72927	R	NP_414608.1	16128060	944785	thiQ	putative ATP-binding component of a transport system; thiamine, thiamine pyrophosphate ABC transporter ATPase; ThiBPQ thiamine, thiamine pyrophosphate importer
NC_000913.3	72911	74521	R	NP_414609.1	16128061	944784	thiP	thiamine, thiamine pyrophosphate ABC transporter permease; ThiBPQ thiamine, thiamine pyrophosphate importer
NC_000913.3	74497	75480	R	NP_414610.1	16128062	946306	thiB	thiamin-binding periplasmic protein; periplasmic-binding component of ABC superfamily; thiamine-, thiamine pyrophosphate-, thiamine monophosphate-binding ABC transporter periplasmic protein; ThiBPQ thiamine, thiamine pyrophosphate importer
NC_000913.3	75644	77299	R	NP_414611.1	16128063	944788	sgrR	putative transport protein; transcriptional DNA-binding transcriptional activator of sgrS sRNA
NC_000913.3	77388	77519	D	YP_002791237.1	226524697	7751624	sgrT	inhibitor of glucose uptake
NC_000913.3	77621	78799	D	YP_025293.1	49175994	944793	setA	broad specificity sugar efflux system
NC_000913.3	78848	79453	R	NP_414613.1	16128065	945642	leuD	isopropylmalate isomerase subunit; 3-isopropylmalate dehydratase small subunit
NC_000913.3	79464	80864	R	NP_414614.1	16128066	945076	leuC	3-isopropylmalate isomerase (dehydratase) subunit; 3-isopropylmalate dehydratase large subunit
NC_000913.3	80867	81958	R	NP_414615.4	90111082	944798	leuB	3-isopropylmalate dehydrogenase, NAD(+)-dependent
NC_000913.3	81958	83529	R	NP_414616.1	16128068	947465	leuA	2-isopropylmalate synthase
NC_000913.3	83622	83708	R	NP_414617.1	16128069	946072	leuL	leu operon leader peptide
NC_000913.3	84368	85312	D	NP_414618.4	90111083	949034	leuO	probable transcriptional activator for leuABCD operon; global transcription factor
NC_000913.3	85630	87354	D	YP_025294.2	90111084	948793	ilvI	acetolactate synthase III, valine sensitive, large subunit; acetolactate synthase 3 large subunit
NC_000913.3	87357	87848	D	NP_414620.1	16128071	947267	ilvH	acetolactate synthase III, valine sensitive, small subunit; acetolactate synthase 3, small subunit, valine-sensitive
NC_000913.3	88028	89032	D	NP_414622.1	16128073	944804	cra	transcriptional repressor of fru operon and others; transcriptional repressor-activator for carbon metabolism
NC_000913.3	89634	90092	D	NP_414623.1	16128074	944810	mraZ	RsmH methytransferase inhibitor
NC_000913.3	90094	91035	D	NP_414624.1	16128075	944806	rsmH	putative apolipoprotein; 16S rRNA m(4)C1402 methyltransferase, SAM-dependent
NC_000913.3	91032	91397	D	NP_414625.1	16128076	944803	ftsL	cell division protein; ingrowth of wall at septum; membrane bound cell division protein at septum containing leucine zipper motif
NC_000913.3	91413	93179	D	NP_414626.1	16128077	944799	ftsI	septum formation; penicillin-binding protein 3; peptidoglycan synthetase; transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)
NC_000913.3	93166	94653	D	NP_414627.1	16128078	944791	murE	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso- diaminopimelate ligase
NC_000913.3	94650	96008	D	NP_414628.1	16128079	944813	murF	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D- alanine ligase
NC_000913.3	96002	97084	D	NP_414629.1	16128080	944814	mraY	phospho-N-acetylmuramoyl-pentapeptide transferase?; phospho-N-acetylmuramoyl-pentapeptide transferase
NC_000913.3	97087	98403	D	NP_414630.1	16128081	944818	murD	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase
NC_000913.3	98403	99647	D	NP_414631.1	16128082	946322	ftsW	cell division; membrane protein involved in shape determination; lipid II flippase; integral membrane protein involved in stabilizing FstZ ring during cell division
NC_000913.3	99644	100711	D	NP_414632.1	16128083	946321	murG	N-acetylglucosaminyl transferase
NC_000913.3	100765	102240	D	NP_414633.1	16128084	946153	murC	UDP-N-acetylmuramate:L-alanine ligase
NC_000913.3	102233	103153	D	NP_414634.1	16128085	946324	ddlB	D-alanine-D-alanine ligase B, affects cell division; D-alanine:D-alanine ligase
NC_000913.3	103155	103985	D	NP_414635.1	16128086	944823	ftsQ	cell division protein; ingrowth of wall at septum; divisome assembly protein, membrane anchored protein involved in growth of wall at septum
NC_000913.3	103982	105244	D	NP_414636.1	16128087	944778	ftsA	ATP-binding cell division protein, septation process, complexes with FtsZ, associated with junctions of inner and outer membranes; ATP-binding cell division protein involved in recruitment of FtsK to Z ring
NC_000913.3	105305	106456	D	NP_414637.1	16128088	944786	ftsZ	cell division; forms circumferential ring; tubulin-like GTP-binding protein and GTPase; GTP-binding tubulin-like cell division protein
NC_000913.3	106557	107474	D	NP_414638.1	16128089	944816	lpxC	UDP-3-O-acyl N-acetylglucosamine deacetylase; lipid A biosynthesis; UDP-3-O-acyl N-acetylglucosamine deacetylase
NC_000913.3	107705	108217	D	NP_414639.2	90111085	944831	secM	regulator of secA translation
NC_000913.3	108279	110984	D	NP_414640.1	16128091	944821	secA	preprotein translocase; secretion protein; preprotein translocase subunit, ATPase
NC_000913.3	111044	111433	D	NP_414641.1	16128092	944824	mutT	7,8-dihydro-8-oxoguanine-triphosphatase, prefers dGTP, causes AT-GC transversions; nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP
NC_000913.3	111649	111846	R	NP_414643.1	16128094	945630	yacG	DNA gyrase inhibitor
NC_000913.3	111856	112599	R	NP_414644.1	16128095	944873	zapD	FtsZ stabilizer
NC_000913.3	112599	113219	R	NP_414645.1	16128096	949060	coaE	putative DNA repair protein; dephospho-CoA kinase
NC_000913.3	113444	114487	D	NP_414646.1	16128097	948986	guaC	GMP reductase
NC_000913.3	114522	115724	R	NP_414648.1	16128099	945806	hofC	putative integral membrane protein involved in biogenesis of fimbriae, protein transport, DNA uptake; assembly protein in type IV pilin biogenesis, transmembrane protein
NC_000913.3	115714	117099	R	NP_414649.1	16128100	947481	hofB	putative integral membrane protein involved in biogenesis of fimbriae, protein transport, DNA uptake; T2SE secretion family protein; P-loop ATPase superfamily protein
NC_000913.3	117109	117549	R	NP_414650.1	16128101	945817	ppdD	prelipin peptidase dependent protein; putative prepilin peptidase-dependent pilin
NC_000913.3	117752	118645	R	NP_414651.1	16128102	948869	nadC	quinolinate phosphoribosyltransferase
NC_000913.3	118733	119284	D	NP_414652.1	16128103	948877	ampD	regulates ampC; 1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase
NC_000913.3	119281	120135	D	NP_414653.1	16128104	946678	ampE	regulates ampC; ampicillin resistance inner membrane protein; putative signaling protein in beta-lactamase regulation
NC_000913.3	120178	121551	R	NP_414654.1	16128105	946018	aroP	aromatic amino acid transport protein; aromatic amino acid transporter
NC_000913.3	122092	122856	D	NP_414655.1	16128106	944827	pdhR	transcriptional regulator for pyruvate dehydrogenase complex; pyruvate dehydrogenase complex repressor; autorepressor
NC_000913.3	123017	125680	D	NP_414656.1	16128107	944834	aceE	pyruvate dehydrogenase (decarboxylase component); pyruvate dehydrogenase, decarboxylase component E1, thiamine triphosphate-binding
NC_000913.3	125695	127587	D	NP_414657.1	16128108	944794	aceF	pyruvate dehydrogenase (dihydrolipoyltransacetylase component); pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2
NC_000913.3	127912	129336	D	NP_414658.1	16128109	944854	lpd	lipoamide dehydrogenase (NADH); component of 2-oxodehydrogenase and pyruvate complexes; L-protein of glycine cleavage complex; lipoamide dehydrogenase, E3 component is part of three enzyme complexes
NC_000913.3	129407	131260	R	NP_414659.1	16128110	944868	yacH	putative membrane protein; uncharacterized protein
NC_000913.3	131615	134212	D	NP_414660.1	16128111	944864	acnB	aconitate hydrase B; bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
NC_000913.3	134388	134750	D	NP_414661.2	90111086	944809	yacL	UPF0231 family protein
NC_000913.3	134788	135582	R	NP_414662.1	16128113	947719	speD	S-adenosylmethionine decarboxylase
NC_000913.3	135598	136464	R	NP_414663.1	16128114	947726	speE	spermidine synthase = putrescine aminopropyltransferase; spermidine synthase (putrescine aminopropyltransferase)
NC_000913.3	136570	136917	R	NP_414664.4	90111087	948472	yacC	PulS_OutS family protein
NC_000913.3	137083	138633	D	NP_414665.1	16128116	947736	cueO	multicopper oxidase (laccase)
NC_000913.3	138835	141225	R	NP_414666.1	16128117	944830	gcd	glucose dehydrogenase
NC_000913.3	141431	141967	D	NP_414667.4	90111088	946624	hpt	hypoxanthine phosphoribosyltransferase
NC_000913.3	142008	142670	R	NP_414668.1	16128119	944832	can	putative carbonic anhdrase; carbonic anhydrase
NC_000913.3	142779	143705	D	NP_414669.1	16128120	944833	yadG	putative ATP-binding component of a transport system; putative ABC superfamily transporter ATP-binding subunit
NC_000913.3	143702	144472	D	NP_414670.1	16128121	944836	yadH	inner membrane putative ABC superfamily transporter permease
NC_000913.3	144577	145017	D	NP_414671.1	16128122	947397	yadI	putative PTS enzyme II B component; putative PTS Enzyme IIA
NC_000913.3	145081	146310	D	NP_414672.1	16128123	946536	yadE	conserved hypothetical protein; putative polysaccharide deacetylase lipoprotein
NC_000913.3	146314	146694	R	NP_414673.1	16128124	945686	panD	aspartate 1-decarboxylase
NC_000913.3	146968	147870	D	NP_414674.1	16128125	944781	yadD	transposase_31 family protein
NC_000913.3	147944	148795	R	NP_414675.1	16128126	944958	panC	pantothenate synthetase
NC_000913.3	148807	149601	R	NP_414676.1	16128127	944839	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase
NC_000913.3	149715	150953	R	NP_414677.1	16128128	944837	yadC	putative fimbrial-like protein; putative fimbrial-like adhesin protein
NC_000913.3	151003	151599	R	NP_414678.1	16128129	944835	yadK	putative fimbrial protein; putative fimbrial-like adhesin protein
NC_000913.3	151626	152231	R	NP_414679.1	16128130	944829	yadL	putative fimbrial protein; putative fimbrial-like adhesin protein
NC_000913.3	152243	152812	R	NP_414680.4	90111089	944828	yadM	putative fimbrial-like protein; putative fimbrial-like adhesin protein
NC_000913.3	152829	155426	R	NP_414681.1	16128132	944819	htrE	probable outer membrane porin protein involved in fimbrial assembly; putative outer membrane usher protein
NC_000913.3	155461	156201	R	NP_414682.1	16128133	944859	yadV	probable pilin chaperone similar to PapD; putative periplasmic pilin chaperone
NC_000913.3	156299	156883	R	NP_414683.1	16128134	944841	yadN	putative fimbrial-like protein; putative fimbrial-like adhesin protein
NC_000913.3	157253	157732	R	NP_414684.1	16128135	948792	folK	7,8-dihydro-6-hydroxymethylpterin- pyrophosphokinase; 2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase
NC_000913.3	157729	159126	R	NP_414685.4	162135892	947318	pcnB	poly(A) polymerase
NC_000913.3	159186	160112	R	NP_414686.3	226524698	944846	gluQ	putative tRNA synthetase; glutamyl-Q tRNA(Asp) synthetase
NC_000913.3	160149	160604	R	NP_414687.1	16128138	944850	dksA	dnaK suppressor protein; transcriptional regulator of rRNA transcription, DnaK suppressor protein
NC_000913.3	160782	161486	R	NP_414688.1	16128139	944855	sfsA	probable regulator for maltose metabolism; sugar fermentation stimulation protein A
NC_000913.3	161501	162031	R	NP_414689.4	90111091	944848	ligT	2'-5' RNA ligase
NC_000913.3	162105	164534	D	NP_414690.4	162135893	944845	hrpB	helicase, ATP-dependent; putative ATP-dependent helicase
NC_000913.3	164730	167264	D	NP_414691.1	16128142	944843	mrcB	peptidoglycan synthetase; penicillin-binding protein 1B; fused glycosyl transferase and transpeptidase
NC_000913.3	167484	169727	D	NP_414692.1	16128143	944856	fhuA	outer membrane protein receptor for ferrichrome, colicin M, and phages T1, T5, and phi80; ferrichrome outer membrane transporter
NC_000913.3	169778	170575	D	NP_414693.1	16128144	945250	fhuC	ATP-binding component of hydroxymate-dependent iron transport; iron-hydroxamate transporter subunit
NC_000913.3	170575	171465	D	NP_414694.1	16128145	947510	fhuD	hydroxamate-dependent iron uptake, cytoplasmic membrane component; periplasmic-binding component of ABC superfamily; iron-hydroxamate transporter subunit
NC_000913.3	171462	173444	D	NP_414695.1	16128146	946890	fhuB	fused iron-hydroxamate transporter subunits of ABC superfamily: membrane components
NC_000913.3	173602	174882	R	NP_414696.1	16128147	946892	hemL	glutamate-1-semialdehyde aminotransferase (aminomutase)
NC_000913.3	175107	176528	D	NP_414697.1	16128148	946715	clcA	putative channel transporter; H(+)/Cl(-) exchange transporter
NC_000913.3	176610	176954	D	NP_414698.1	16128149	944857	erpA	iron-sulfur cluster insertion protein
NC_000913.3	177001	177624	R	NP_414699.1	16128150	949062	yadS	UPF0126 family inner membrane protein
NC_000913.3	177662	178462	R	NP_414700.1	16128151	947574	btuF	vitamin B12 transporter subunit: periplasmic-binding component of ABC superfamily
NC_000913.3	178455	179153	R	NP_414701.1	16128152	948542	mtn	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
NC_000913.3	179237	180754	D	NP_414702.1	16128153	947177	dgt	deoxyguanosine triphosphate triphosphohydrolase
NC_000913.3	180884	182308	D	NP_414703.1	16128154	947139	degP	periplasmic serine protease Do; heat shock protein HtrA; serine endoprotease (protease Do), membrane-associated
NC_000913.3	182463	183620	D	NP_414704.4	90111093	944860	cdaR	carbohydrate diacid regulon transcriptional regulator; autoregulator
NC_000913.3	183709	184095	R	NP_414705.1	16128156	947044	yaeH	putative structural protein; UPF0325 family protein
NC_000913.3	184257	185069	R	NP_414706.2	90111094	945002	yaeI	phosphodiesterase with model substrate bis-pNPP
NC_000913.3	185123	185947	R	NP_414708.1	16128159	944862	dapD	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase
NC_000913.3	185978	188650	R	NP_414709.1	16128160	944863	glnD	protein PII; uridylyltransferase acts on regulator of glnA; uridylyltransferase
NC_000913.3	188712	189506	R	NP_414710.1	16128161	947882	map	methionine aminopeptidase
NC_000913.3	189874	190599	D	NP_414711.1	16128162	947874	rpsB	30S ribosomal subunit protein S2
NC_000913.3	190857	191708	D	NP_414712.1	16128163	944866	tsf	translation elongation factor EF-Ts
NC_000913.3	191855	192580	D	NP_414713.1	16128164	944989	pyrH	uridylate kinase
NC_000913.3	192872	193429	D	NP_414714.1	16128165	946122	frr	ribosome releasing factor; ribosome recycling factor
NC_000913.3	193521	194717	D	NP_414715.1	16128166	945019	dxr	1-deoxy-D-xylulose 5-phosphate reductoisomerase
NC_000913.3	194903	195664	D	NP_414716.1	16128167	944874	ispU	undecaprenyl pyrophosphate synthetase (di-trans,poly-cis-decaprenylcistransferase); undecaprenyl pyrophosphate synthase
NC_000913.3	195677	196534	D	NP_414717.2	90111095	944876	cdsA	CDP-diglyceride synthetase; CDP-diglyceride synthase
NC_000913.3	196546	197898	D	NP_414718.1	16128169	944871	rseP	inner membrane zinc RIP metalloprotease; RpoE activator, by degrading RseA; cleaved signal peptide endoprotease
NC_000913.3	197928	200360	D	NP_414719.1	16128170	944870	bamA	putative outer membrane antigen; BamABCDE complex OM biogenesis outer membrane pore-forming assembly factor
NC_000913.3	200482	200967	D	NP_414720.1	16128171	944861	skp	periplasmic molecular chaperone for outer membrane proteins; periplasmic chaperone
NC_000913.3	200971	201996	D	NP_414721.1	16128172	944882	lpxD	UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase
NC_000913.3	202101	202556	D	NP_414722.1	16128173	944888	fabZ	(3R)-hydroxymyristol acyl carrier protein dehydratase
NC_000913.3	202560	203348	D	NP_414723.1	16128174	944849	lpxA	UDP-N-acetylglucosamine acetyltransferase; lipid A biosynthesis; UDP-N-acetylglucosamine acetyltransferase
NC_000913.3	203348	204496	D	NP_414724.1	16128175	944838	lpxB	tetraacyldisaccharide-1-P; lipid A biosynthesis, penultimate step; tetraacyldisaccharide-1-P synthase
NC_000913.3	204493	205089	D	NP_414725.1	16128176	944852	rnhB	RNAse HII, degrades RNA of DNA-RNA hybrids; ribonuclease HII, degrades RNA of DNA-RNA hybrids
NC_000913.3	205126	208608	D	NP_414726.1	16128177	944877	dnaE	DNA polymerase III, alpha subunit; DNA polymerase III alpha subunit
NC_000913.3	208621	209580	D	NP_414727.1	16128178	944895	accA	acetylCoA carboxylase, carboxytransferase component, alpha subunit; acetyl-CoA carboxylase, carboxytransferase, alpha subunit
NC_000913.3	209679	211820	D	NP_414728.1	16128179	944887	ldcC	lysine decarboxylase 2, constitutive
NC_000913.3	211877	212266	D	NP_414729.4	90111096	944875	yaeR	putative lyase
NC_000913.3	212331	213629	D	NP_414730.1	16128181	944889	tilS	tRNA(Ile)-lysidine synthetase
NC_000913.3	213678	213932	R	NP_414731.2	90111097	944891	rof	modulator of Rho-dependent transcription termination
NC_000913.3	213925	214125	R	YP_026160.1	49176004	1450233	yaeP	conserved hypothetical protein; UPF0253 family protein
NC_000913.3	214291	214836	D	NP_414732.1	16128183	946809	yaeQ	PDDEXK superfamily protein
NC_000913.3	214833	215255	D	NP_414733.1	16128184	946046	arfB	alternative stalled-ribosome rescue factor B; peptidyl-tRNA hydrolase, ribosome-attached
NC_000913.3	215269	215979	D	NP_414734.1	16128185	946782	nlpE	copper homeostasis protein (lipoprotein); lipoprotein involved with copper homeostasis and adhesion
NC_000913.3	216179	217003	R	NP_414735.4	90111098	944892	yaeF	putative lipoprotein
NC_000913.3	217057	218775	R	NP_414736.1	16128187	949116	proS	proline tRNA synthetase; prolyl-tRNA synthetase
NC_000913.3	218887	219594	R	NP_414737.1	16128188	949112	tsaA	tRNA-Thr(GGU) m(6)t(6)A37 methyltransferase, SAM-dependent
NC_000913.3	219591	219995	R	NP_414738.1	16128189	949113	rcsF	regulator in colanic acid synthesis; interacts with RcsB; putative outer membrane protein
NC_000913.3	220113	220928	R	NP_414739.1	16128190	944893	metQ	D-methionine transport protein (ABC superfamily, peri_bind); DL-methionine transporter subunit
NC_000913.3	220968	221621	R	NP_414740.1	16128191	944894	metI	D- and L-methionine transport protein (ABC superfamily, membrane); DL-methionine transporter subunit
NC_000913.3	221614	222645	R	NP_414741.1	16128192	944896	metN	D- and L-methionine transport protein (ABC superfamily, atp_bind); DL-methionine transporter subunit
NC_000913.3	222833	223408	D	NP_414742.1	16128193	944879	gmhB	D,D-heptose 1,7-bisphosphate phosphatase
NC_000913.3	229167	229970	D	NP_414743.1	16128194	944901	dkgB	2,5-diketo-D-gluconate reductase B
NC_000913.3	229967	230881	R	NP_414744.1	16128195	947507	yafC	putative transcriptional regulator LYSR-type; LysR family putative transcriptional regulator
NC_000913.3	231122	231922	D	NP_414745.1	16128196	946286	yafD	endo/exonuclease/phosphatase family protein
NC_000913.3	231926	232549	D	NP_414746.1	16128197	946197	yafE	putative biotin synthesis protein; putative S-adenosyl-L-methionine-dependent methyltransferase
NC_000913.3	232597	233955	R	NP_414747.1	16128198	945694	mltD	putative membrane-bound lytic murein transglycosylase D
NC_000913.3	234027	234782	R	NP_414748.1	16128199	944902	gloB	probable hydroxyacylglutathione hydrolase; hydroxyacylglutathione hydrolase
NC_000913.3	234816	235538	D	NP_414749.2	90111099	944903	yafS	putative S-adenosyl-L-methionine-dependent methyltransferase
NC_000913.3	235535	236002	R	NP_414750.1	16128201	946955	rnhA	RNase HI, degrades RNA of DNA-RNA hybrids, participates in DNA replication; ribonuclease HI, degrades RNA of DNA-RNA hybrids
NC_000913.3	236067	236798	D	NP_414751.1	16128202	946441	dnaQ	DNA polymerase III, epsilon subunit; DNA polymerase III epsilon subunit
NC_000913.3	237335	238120	D	NP_414752.1	16128203	949009	yafT	putative aminopeptidase; lipoprotein
NC_000913.3	238257	238736	R	YP_001165307.1	145698220	5061498	ykfM	lethality reduction protein, putative inner membrane protein
NC_000913.3	238746	239102	R	b0218		946644	yafU	pseudogene; <NULL_VALUE>
NC_000913.3	239106	239378	D	b4503		1450235	yafF	pseudogene, H repeat-associated protein; <NULL_VALUE>
NC_000913.3	239419	240189	R	NP_414754.1	16128205	946585	yafV	putative EC 3.5. amidase-type enzyme; putative NAD(P)-binding C-N hydrolase family amidase
